SCREEN_ID,SOURCE_ID,SOURCE_TYPE,AUTHOR,SCREEN_NAME,SCORES_SIZE,FULL_SIZE,FULL_SIZE_AVAILABLE,NUMBER_OF_HITS,ANALYSIS,SIGNIFICANCE_INDICATOR,SIGNIFICANCE_CRITERIA,THROUGHPUT,SCREEN_TYPE,SCREEN_FORMAT,EXPERIMENTAL_SETUP,DURATION,CONDITION_NAME,CONDITION_DOSAGE,MOI,LIBRARY,LIBRARY_TYPE,LIBRARY_METHODOLOGY,ENZYME,CELL_LINE,CELL_TYPE,PHENOTYPE,SCORE_COL_COUNT,SCORE.1_TYPE,SCORE.2_TYPE,SCORE.3_TYPE,SCORE.4_TYPE,SCORE.5_TYPE,ORGANISM_ID,ORGANISM_OFFICIAL,NOTES,SOURCE,SCREEN_RATIONALE,CELL_TYPE_BROAD
279,29083409,pubmed,Meyers RM (2017),99-PMID29083409,17670,17670,Yes,1329,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,Detroit562,Lymphoma or Leukaemia Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Lymphoid
280,29083409,pubmed,Meyers RM (2017),100-PMID29083409,17670,17670,Yes,1667,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,DK-MG,Glioblastoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Nervous
281,29083409,pubmed,Meyers RM (2017),101-PMID29083409,17670,17670,Yes,2292,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,DLD-1,Colonic Adenocarcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Gastrointestinal / Glandular
282,29083409,pubmed,Meyers RM (2017),102-PMID29083409,17670,17670,Yes,1252,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,DU4475,Breast Cancer Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Breast
283,29083409,pubmed,Meyers RM (2017),103-PMID29083409,17670,17670,Yes,1832,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,EFM-19,Breast Cancer Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Breast
284,29083409,pubmed,Meyers RM (2017),104-PMID29083409,17670,17670,Yes,1743,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,EFO-21,Ovary Adenocarcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Ovary / Glandular
285,29083409,pubmed,Meyers RM (2017),105-PMID29083409,17670,17670,Yes,2223,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,EKVX,Non-Small Cell Lung Adenocarcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Lung / Glandular
287,29083409,pubmed,Meyers RM (2017),107-PMID29083409,17670,17670,Yes,2070,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,ESS-1,Endometrial Cancer Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Uterus
288,29083409,pubmed,Meyers RM (2017),108-PMID29083409,17670,17670,Yes,1732,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,FaDu,Hypopharyngeal Squamous Cell Carcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Head and Neck / Squamous
289,29083409,pubmed,Meyers RM (2017),109-PMID29083409,17670,17670,Yes,1855,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,G-292,Osteosarcoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Bone
290,29083409,pubmed,Meyers RM (2017),110-PMID29083409,17670,17670,Yes,1900,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,GaMG,Glioblastoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Nervous
291,29083409,pubmed,Meyers RM (2017),111-PMID29083409,17670,17670,Yes,2124,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,GB-1,Glioblastoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Nervous
292,29083409,pubmed,Meyers RM (2017),112-PMID29083409,17670,17670,Yes,2272,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,RCB0555,Gastric Adenocarcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Gastrointestinal / Glandular
293,29083409,pubmed,Meyers RM (2017),113-PMID29083409,17670,17670,Yes,1701,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,GI-1 (RCB0763),Gliosarcoma,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Nervous
294,29083409,pubmed,Meyers RM (2017),114-PMID29083409,17670,17670,Yes,1896,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,RCB2277,Gastric Cancer Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Gastrointestinal
295,29083409,pubmed,Meyers RM (2017),115-PMID29083409,17670,17670,Yes,2004,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,JHH-1,Hepatoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Liver
296,29083409,pubmed,Meyers RM (2017),116-PMID29083409,17670,17670,Yes,1938,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,JHH-4,Hepatoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Liver
297,29083409,pubmed,Meyers RM (2017),117-PMID29083409,17670,17670,Yes,2146,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,JHH-5,Hepatoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Liver
298,29083409,pubmed,Meyers RM (2017),118-PMID29083409,17670,17670,Yes,2194,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,JHH-7,Hepatoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Liver
299,29083409,pubmed,Meyers RM (2017),119-PMID29083409,17670,17670,Yes,2025,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,JHOC-5 (RCB1520),Ovary Adenocarcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Ovary / Glandular
300,29083409,pubmed,Meyers RM (2017),120-PMID29083409,17670,17670,Yes,1895,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,JHOM-1 (RCB1676),Ovary Adenocarcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Ovary / Glandular
301,29083409,pubmed,Meyers RM (2017),121-PMID29083409,17670,17670,Yes,1837,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,JHOS-2 (RCB1521),Ovary Adenocarcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Ovary / Glandular
302,29083409,pubmed,Meyers RM (2017),122-PMID29083409,17670,17670,Yes,2024,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,JHOS-4 (RCB1678),Ovary Adenocarcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Ovary / Glandular
303,29083409,pubmed,Meyers RM (2017),123-PMID29083409,17670,17670,Yes,1960,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,JIMT-1,Mammary Gland Tumor Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Breast / Glandular
304,29083409,pubmed,Meyers RM (2017),124-PMID29083409,17670,17670,Yes,2119,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,RCB2227,Bladder Carcinoma,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Urinary
305,29083409,pubmed,Meyers RM (2017),125-PMID29083409,17670,17670,Yes,2239,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,HARA,Lung Squamous Cell Carcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Lung / Squamous
306,29083409,pubmed,Meyers RM (2017),126-PMID29083409,17670,17670,Yes,1813,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,BICR 6,Hypopharyngeal Squamous Cell Carcinoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Head and Neck / Squamous
307,29083409,pubmed,Meyers RM (2017),127-PMID29083409,17670,17670,Yes,1746,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,HEC-251,Endometrial Cancer Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Uterus
308,29083409,pubmed,Meyers RM (2017),128-PMID29083409,17670,17670,Yes,2056,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,HEC-50B,Endometrial Cancer Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Uterus
309,29083409,pubmed,Meyers RM (2017),129-PMID29083409,17670,17670,Yes,1959,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,HEC-59,Endometrial Cancer Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Uterus
310,29083409,pubmed,Meyers RM (2017),130-PMID29083409,17670,17670,Yes,1999,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,HEY A8,Ovarian Cancer Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Ovary
311,29083409,pubmed,Meyers RM (2017),131-PMID29083409,17670,17670,Yes,1834,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,K029AX,Melanoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Skin / Epithelium
312,29083409,pubmed,Meyers RM (2017),132-PMID29083409,17670,17670,Yes,2012,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,KALS-1,Glioblastoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Nervous
313,29083409,pubmed,Meyers RM (2017),133-PMID29083409,17670,17670,Yes,2208,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,KARPAS-299,T-lymphoma cell line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Lymphoid
314,29083409,pubmed,Meyers RM (2017),134-PMID29083409,17670,17670,Yes,2259,CERES,Score Significance,Score.2 (FDR) < 0.05,High Throughput,Negative Selection,Pool,Timecourse,21 Days,NA,NA,< 1,Avana,CRISPRn,Knockout,Cas9,KELLY,Neuroblastoma Cell Line,cell proliferation,2,CERES score,FDR,NA,NA,NA,9606,H. sapiens,"To identify gene hits at an FDR < 0.05, ORCS estimated FDRs for the CERES Avana dataset using customized gold-standard positive and negative sets of genes. The custom positive set included genes essential in at least 90% of cell lines in both the CERES Avana dataset (PMID:29083409) and the 10 lines included in Bertomeu et al. (PMID:29038160). The custom negative set included genes essential in zero cell lines from one of the two datasets and in <=10% of the other dataset.",BioGRID ORCS,Cell-essential genes,Nervous
